id,StartUp,Country,Year,ESG,E,S,G,Raised,distr_tk,Rating, platform ETHEREUM , kyc , whitelist , mvp , teamsize , duracao , retrictions USD , FIAT , EPI , GOVEF , POLEST , REGQ , EDBUS , PUBEXP , TERT , TEACHT , DOCT , RDEXP , HTECEXP , QINSTIT , SJOUR , DCRED , STOCMARK , DMED , DMEDIA , GDPC , CREDINAD , CONCTBANK , EASYL , VC , TAXPROFIT , TAX_REVEN , FISCALFRD , FINACIFRD , FOREIGINVEST , FOREIGDP , INTERPAY , percmath , GINI , MAKTEFF , PERCTECH , DEVCOUNT 
3160,True Reply,United States,2018,0,0,0,0,79160,0.4,2.7,0,0,0,0,0,31,0,0,69.3,1.575724,79.2,1.62526,83.57395,3.6,88.29917908,1581424,2.032649994,2.83283,18.47405368,6.026274681,422807.71,178.9733659,147.6641,1,1,63064.41841,0.913162,34.41995,5.538066864,5.603142738,27.1,51.4405252,54.8,80,2.61482E+11,1.268599671,11.81637868,7.2092,41.4,5.209139408,3.78213,1
3161,TrustBar,South Africa,2018,0,0,0,0,0,0.6,3,1,1,1,0,11,30,0,0,43.1,0.3326285,62.7,0.1297222,66.69548,6.158989906,23.80195999,27099,0.686819971,0.83215,5.271878217,4.391964912,13008.74,117.0134929,234.9589,0,0,7005.095413,3.72802,98.66101,3.94650054,2.980399609,21.8,48.39787515,74.6,50,5569462350,1.512253491,10.56256404,7.25174,63,4.768784563,3.0337,0
3162,Uchit,India,0,0,0,0,0,0,0.65,3.2,1,0,0,0,5,29,0,0,27.6,0.1,34.8,-0.2273288,67.49639,3.450979948,28.06055069,1388732,0,0.65282,9.040355651,4.679811478,135787.79,50.37204197,84.49522,0,0,1996.915087,9.46096,37.40164,4.454211712,4.315957069,21.7,45.64661902,13.2,40,42117450737,1.559263523,19.39650979,16.064,35.7,4.393983371,4.91506,0
3163,Unilot,Malta,2018,0,0,0,0,0,0.62,3.6,1,0,0,0,21,42,0,0,70.7,-0.6,89,1.336544,65.4975,4.651629925,59.25175858,1734.997,0.491809994,0.57246,33.07080718,4.11644125,422.02,74.62765865,33.99891,1,1,30672.29224,3.35529,93.58219,4.354804993,2.976015091,32.3,33.53624787,90,60,4474673097,30.10265385,4.469451972,3.62445,28.7,4.734165457,7.92576,1
3164,United Traders,Russian Federation,0,0,0,0,0,32000000,0,3.3,1,0,0,0,9,24,0,1,50.5,0.15,45.6,-0.5028223,76.5,4.678199768,84.5842514,539144,0.649489999,0.98275,11.31874347,4.396923542,81579.36,51.24333483,34.76174,1,0,11287.35528,10.1236,33.67986,3.172773123,2.676175117,7.3,2.274465363,87.7,30,8784850000,0.530060761,2.691165331,2.77605,37.5,4.186344936,5.16847,0
3165,Universa,Russian Federation,0,0,0,0,0,28800000,0.66,3.1,1,0,0,0,3,31,0,0,50.5,0.15,45.6,-0.5028223,76.5,4.678199768,84.5842514,539144,0.649489999,0.98275,11.31874347,4.396923542,81579.36,51.24333483,34.76174,1,0,11287.35528,10.1236,33.67986,3.172773123,2.676175117,7.3,2.274465363,87.7,30,8784850000,0.530060761,2.691165331,2.77605,37.5,4.186344936,5.16847,0
3166,Uservice,Russian Federation,2018,0,0,0,0,23829663,0.6,3,1,0,0,0,20,45,0,0,50.5,0.15,45.6,-0.5028223,76.5,4.678199768,84.5842514,539144,0.649489999,0.98275,11.31874347,4.396923542,81579.36,51.24333483,34.76174,1,0,11287.35528,10.1236,33.67986,3.172773123,2.676175117,7.3,2.274465363,87.7,30,8784850000,0.530060761,2.691165331,2.77605,37.5,4.186344936,5.16847,0
3167,VLB,Estonia,0,0,0,0,0,0,0.8,3.1,0,0,0,0,14,28,1,0,65.3,1.7,82.1,1.55177,80.8,5.238870144,70.36543274,4349,0.931609988,1.40441,18.171464,5.28922987,1414.72,62.2248163,16.9,1,1,23052.30126,0.453036,96.82919,4.656772614,3.812066317,7.8,20.46954584,99.8,80,1212525210,3.960406045,0.173250173,6.31962,30.3,5.061652945,6.66152,1
3168,VuePay,United Kingdom,2017,0,0,0,0,0,0.4,2.7,1,0,0,0,7,30,0,0,81.3,1.398906,76.1,1.777152,83.2,5.238900185,61.38288879,161144.9639,1.001019955,1.70274,22.31955772,6.33368735,97680.9,132.6118914,116.4857,1,1,43646.95197,1.07263,48.65972,4.429107189,4.408193111,17.3,33.21909638,53.5,80,81158909779,2.840389193,6.702680056,13.56267,34.8,5.344177416,3.61913,1
3169,weeMarketplaceAccessToken,Switzerland,2020,0,0,0,0,0,0.5,4.3,0,1,1,1,4,21,0,0,81.5,2.038619,98.1,1.798568,76.6,4.86093998,61.37744904,36406,2.934159994,3.36798,13.31746702,6.5519386,21378.56,168.7,195.8393,1,1,86388.40495,0.661974,84.84321,4.940247536,4.145997524,9.3,24.51156614,95.9,90,-1.46999E+11,-19.97575153,1.004549408,6.93209,33.1,5.422860297,2.54616,1
3170,WeTrust,United States,0,0,0,0,0,4978366,0,3,1,0,0,0,7,43,0,0,69.3,1.575724,79.2,1.62526,83.57395,3.6,88.29917908,1581424,2.032649994,2.83283,18.47405368,6.026274681,422807.71,178.9733659,147.6641,1,1,63064.41841,0.913162,34.41995,5.538066864,5.603142738,27.1,51.4405252,54.8,80,2.61482E+11,1.268599671,11.81637868,7.2092,41.4,5.209139408,3.78213,1
3171,White Stripe Lottery,Russian Federation,2020,0,0,0,0,0,0.75,3,0,0,0,0,7,91,0,0,50.5,0.15,45.6,-0.5028223,76.5,4.678199768,84.5842514,539144,0.649489999,0.98275,11.31874347,4.396923542,81579.36,51.24333483,34.76174,1,0,11287.35528,10.1236,33.67986,3.172773123,2.676175117,7.3,2.274465363,87.7,30,8784850000,0.530060761,2.691165331,2.77605,37.5,4.186344936,5.16847,0
3172,WindEnergyMining,Latvia,0,0,0,0,0,0,0.9,3.1,0,0,0,0,3,61,1,0,61.6,-0.5,78.3,1.142373,80,4.245170116,93.02448273,7150,1.107069969,0.64083,20.54819941,4.152466297,1417.73,36.60616907,2.5,1,0,17856.30712,5.2884,100,3.493833303,3.020697832,6.4,7.173437847,95.3,60,428832379.8,1.246634508,2.568425745,2.73384,35.1,4.519281145,4.69309,0
3173,WORDCOIN,Russian Federation,2017,0,0,0,0,0,0.7,2.9,1,0,0,0,4,28,0,0,50.5,0.15,45.6,-0.5028223,76.5,4.678199768,84.5842514,539144,0.649489999,0.98275,11.31874347,4.396923542,81579.36,51.24333483,34.76174,1,0,11287.35528,10.1236,33.67986,3.172773123,2.676175117,7.3,2.274465363,87.7,30,8784850000,0.530060761,2.691165331,2.77605,37.5,4.186344936,5.16847,0
3174,WSPX,United States,0,0,0,0,0,0,0.699,3,0,0,0,0,4,46,0,0,69.3,1.575724,79.2,1.62526,83.57395,3.6,88.29917908,1581424,2.032649994,2.83283,18.47405368,6.026274681,422807.71,178.9733659,147.6641,1,1,63064.41841,0.913162,34.41995,5.538066864,5.603142738,27.1,51.4405252,54.8,80,2.61482E+11,1.268599671,11.81637868,7.2092,41.4,5.209139408,3.78213,1
3176,XefoCoin,United States,0,0,0,0,0,0,0.72,3,0,0,0,0,12,91,0,0,69.3,1.575724,79.2,1.62526,83.57395,3.6,88.29917908,1581424,2.032649994,2.83283,18.47405368,6.026274681,422807.71,178.9733659,147.6641,1,1,63064.41841,0.913162,34.41995,5.538066864,5.603142738,27.1,51.4405252,54.8,80,2.61482E+11,1.268599671,11.81637868,7.2092,41.4,5.209139408,3.78213,1
